"nombre_color","nombre_set","set_num"
Black,Skyra’s Mysterious Sky Castle,"41078-1"
Black,Sport Coupe,"6530-1"
Black,Nyiregyhaza Factory,"4000011-1"
Black,Justice League vs Bizarro League DVD/Blu-Ray,DCSHDVD1-1
Black,Freestyle Building Set,"4142-1"
Black,Stringer,"6282-1"
Black,Buggy,"60145-1"
Black,Rey,"75113-1"
Black,International Space Station,"7467-1"
Black,First Order Transporter™,"75103-1"
Black,Basic Building Set,"550-1"
Black,Street Cleaner,"5620-1"
Black,Large Freestyle Playcase,"4153-1"
Black,Gungan Patrol,"7115-1"
Black,Emergency Response Center,"6479-1"
Black,Tank Truck,"3180-1"
Black,Pirate Survival,"8397-1"
Black,"Advent Calendar 2001, Creator (Day 23) Christmas Tree","4124-24"
Black,Chain Cycle Ambush,"70730-1"
Black,Holiday Set 2012,"3300014-1"
Black,Police Patrol,"60045-1"
Black,Viking Double Catapult versus the Armored Ofnir Dragon,"7021-1"
Black,Bucko,NIN891616-1
Black,"Two-Face"" Double Demolition","70915-1"
Black,Monthly Mini Model Build Set April 2013 - Lamb and Sheep,"40064-1"
Black,Police Station [Lighted Figure],"7237-1"
Black,Gear Set,"9610-1"
Black,Puppy Treats & Tricks,"41304-1"
Black,Tarakava,"8549-1"
Black,Republic Swamp Speeder - Limited Edition,"8091-1"
Black,Community Services Set,"9209-1"
Black,Gobba,"41513-1"
Black,Vladek,"5998-1"
Black,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,"1290-1"
Black,Lerahk - With Shadow Kraata (Promotional Set),"8589-2"
Black,Power Functions Train Motor,"88002-1"
Black,Forklift Transporter,"8872-1"
Black,Dual FX Racers,"1665-1"
Black,Jedi Defender-class Cruiser,"75025-1"
Black,Fortune Teller - Complete Set,"71000-9"
Black,"60024 Advent Calendar 2013, City (Day 23)","60024-24"
Black,Wake Rider (Wave Catcher),"6737-1"
Black,Snoof,"41541-1"
Black,Small Satellite,"30016-1"
Black,Supercar,"8070-1"
Black,Mos Espa Podrace,"7171-1"
Black,"LEGO Store Grand Opening Exclusive Set, Mayfair, Wauwatosa, WI",Wauwatosa-1
Black,Monthly Mini Model Build August 2014 - Monkey,"40101-1"
Black,Community Minifigures,"9348-1"
Black, Spectre,"71010-7"
Black,Atlantis Exploration HQ,"8077-1"
Black,Beach Bandit,"6534-1"
Black,Space Challenge Set,"45570-1"
Black,LEGO Creative Bucket,"10662-1"
Black,Slick Racer,"6546-1"
Black,Farm Set,"190-1"
Black,ARC-170 Starfighter,"30247-1"
Black,Robo Technology Set [USB Cable],"9786-1"
Black,Pirates Cannon,"1871-1"
Black,Spin & Shoot,"3430-1"
Black,Three Minifig Pack - Ninja #2,"3345-1"
Black,Vikings Chess Set,G577-1
Black,Advent Calendar 1998 Classic Basic (Day 23) Truck,"1298-24"
Black,Air Chase,"6735-1"
Black,TECHNIC Chainlinks,"5243-1"
Black,Countdown Corner,"6454-1"
Black,Sea Machines,"4505-1"
Black,Stephanie's Beach House,"41037-1"
Black,Kai Drifter,"30293-1"
Black,Anakin's Y-wing Starfighter,"8037-1"
Black,"Pneumatic Pump, Cylinder, Valves, Tubing","9872-1"
Black,Brickbeard's Bounty,"6243-1"
Black,Treasure Island,"70411-1"
Black,Crawler Crane,"42042-1"
Black,Rapunzel’s Creativity Tower,"41054-1"
Black,Basic Set,"1652-1"
Black,Police Starter Set,"60136-1"
Black,Dragon Wagon,"6056-1"
Black,Diver and Shark,"2871-1"
Black,Gahlok-Kal,"8578-1"
Black,Dumper,"6447-1"
Black,Marge Simpson,"71005-3"
Black,Scientist - Complete Set,"71002-11"
Black,Cargo Terminal,"60022-1"
Black,Special Elements Pack,"991268-1"
Black,Speedboat,"7244-1"
Black,Green City,"9594-1"
Black,Sumo Wrestler - Complete Set,"8803-7"
Black,Freeing Dobby,"4736-1"
Black,Puppy Parade,"41301-1"
Black,Neptune Carrier,"8075-1"
Black,Deep Sea Predators,"4506-1"
Black,The Penguin Face Off,"76010-1"
Black,Fire Truck,"602-2"
Black,Sub Orbital Guardian,"6878-1"
Black,Year Of The Sheep,"40148-1"
Black,Digger,"7248-1"
Black,Snowboard Boarder Cross Race,"3538-1"
Black,Vulture Droid,"75041-1"
Black,"Advent Calendar 2013, Friends (Day 21) - Musical Score","41016-22"
Black,Poe's X-wing Fighter,"30278-1"
Black,Senate Commando Troopers,"75088-1"
Black,Batman and Joker Minifig Pack - San Diego Comic-Con 2008 Exclusive,comcon003-1
Black,City Buildings Set,"9311-1"
Black,Shark,"7608-1"
Black,Monthly Mini Model Build May 2013 - Kingfisher,"40065-1"
Black,Mission 7: Deep Sea Quest,"8636-1"
Black,Orangutan's Banana Tree,"41045-1"
Black,Fierce Creatures,"4994-1"
Black,X-Large Tires / 81 mm Tyres and Hubs,"5246-1"
Black,Advent Calendar 2007 Belville (Day 16) Fireplace,"7600-17"
Black,Batman Adventure,"10599-1"
Black,Plane Accessories,"5178-1"
Black,Mountain Sleigh (Kabaya Promotional),"7423-2"
Black,Rapunzel's Market Visit,"30116-1"
Black,Braptor's Wing Striker,"70128-1"
Black,Basic Building Set,"1965-1"
Black,Rapper - Complete Set,"8803-15"
Black,Sand Dollar Cafe,"6411-1"
Black,Thornraxx,"6228-1"
Black,Paravane,"1749-1"
Black,Good Guy 07,"6944-1"
Black,Fishing Boat,"60147-1"
Black,Racing Car,"695-1"
Black,King Pig’s Castle,"75826-1"
Black,"Main Street, Reissue","10041-1"
Black,Cart,"1186-1"
Black,Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,comcon007-1
Black,Red Creative Box,"10707-1"
Black,Emerald Night,"10194-1"
Black,Carriage Ride,"6404-1"
Black,Ferrari F12 Berlinetta,"40191-1"
Black,Orchestra,"3631-1"
Black,Crystal Detector,"6159-1"
Black,Lady Liberty - Complete Set,"8827-4"
Black,Vintage Minifigure Collection Vol. 2,"852535-1"
Black,Winter Village Market [Initial Release],"10235-1"
Black,"2 x 4 Bricks (The Building Toy)","418-2"
Black,TIE Interceptor,"75031-1"
Black,Mobile Police Unit,"7288-1"
Black,Air Patrol,"1068-1"
Black,Crane and Digger Accessories,"5126-1"
Black,MINDSTORMS Energy Parts Pack,"991751-1"
Black,Makuta Icarax,"8953-1"
Black,Police Plane,"30018-1"
Black,The Batmobile,"30446-1"
Black,Monster Crab Clash,"8056-1"
Black,Shipwreck Island,"6296-1"
Black,BMW R 1200 GS Adventure,"42063-1"
Black,Santa In Truck with Polar Bear,"1177-1"
Black,Space Command Center (Craterplate version),"493-3"
Black,Canada Post Mail Truck,"107-2"
Black,Hockey Promotional Set,"5017-1"
Black,Race Boat,"60114-1"
Black,Wave Master,"6596-1"
Black,Rubber Bands,"70012-1"
Black,Aircraft,"2708-1"
Black,Snowboarder Guy - Complete Set,"8805-16"
Black,Classic Value Pack,"4293-1"
Black,FLL Trophy Medium,"2000422-1"
Black,Helicopter Transport,"6328-1"
Black,Shell Tanker,"6695-1"
Black,Star Wars Character Encyclopedia,"5000214-1"
Black,Stephanie's Pizzeria,"41092-1"
Black,Daredevil Flight Squad,"6582-1"
Black,Gravity Games Promotional Set,"5018-1"
Black,Millennium Falcon,"7965-1"
Black,Container Truck,"8052-1"
Black,Jet Speed Justice,"6344-1"
Black,Advent Calendar 2009 City (Day 21) Lumberjack,"7687-22"
Black,Breez 2.0,"2142-1"
Black,General Grievous™,"75112-1"
Black,Advent Calendar 2009 City (Day 20) RC Car Cones and Flag,"7687-21"
Black,Turg,"41543-1"
Black,Collectible Display Set 2 - San Diego Comic-Con 2009 Exclusive,comcon005-1
Black,Haunted House,"10228-1"
Black,Ambulance,"373-2"
Black,Rock Wrecker,"8963-1"
Black,Republic Fighter Tank,"7679-1"
Black,Gear Supplementary Set,"812-1"
Black,Police Car,"6623-1"
Black,Enchanted Island,"6292-1"
Black,AntiMatter’s Portal Hideout,"70172-1"
Black,Sky Patrol,"1895-1"
Black,LEGO Inside Tour Exclusive 2013 Edition – Villy Thomsen Truck,"4000008-1"
Black,Magnet Set Royal Guard 2009,"852552-1"
Black,Shipwreck Hideout,"6253-1"
Black,Mobile Car Crane,"1489-1"
Black,Star Slicer,"70703-1"
Black,Dawn of Iron Doom,"70626-1"
Black,Sea Sprint 9,"6125-1"
Black,Excavator,"8294-1"
Black,Go-Kart,"3056-1"
Black,Darkseid Invasion,"76028-1"
Black,Bastian Schweinsteiger (7),"71014-7"
Black,Swarm Interceptor,"70701-1"
Black,Lone Ranger’s Pump Car,"30260-1"
Black,Core Hunter,"6222-1"
Black,Hollywood Starlet - Complete Set,"71000-3"
Black,"LEGO Store Grand Opening Exclusive Set, Fairview Mall, Toronto, ON, Canada",Toronto-2
Black,Off Road Race Track,"4588-1"
Black,Advent Calendar 2006 City (Day 16) Police Officer with Signal Paddle,"7904-17"
Black,Wild Hunters,"4884-1"
Black,Advent Calendar 2008 Castle (Day 20) - Dinner Table,"7979-21"
Black,Bat Lord,"6007-1"
Black,Dino Quad,"7294-1"
Black,Police Mobile Patrol,"644-2"
Black,Mobile Crane,"643-2"
Black,Riding Stable,"6379-1"
Black,The Ghost Train,"9467-1"
Black,Go-Kart Racer,"30314-1"
Black,Ogel Sub Shark,"4793-1"
Black,Seaside House,"7346-1"
Black,Sonic Stinger,"6907-1"
Black,LEGO® DIMENSIONS™ Wicked Witch™ Fun Pack,"71221-1"
Black,Duplo Large Brick Box - Green Plate,"5380-2"
Black,Medusa - Complete Set,"71001-2"
Black,Jango Fett's Slave I,"7153-1"
Black,Rescue Helicopter,"8068-1"
Black,Fire & Rescue Squad,"6366-1"
Black,Advent Calendar 2009 Pirates (Day  2) - Table with Lamp and Map,"6299-3"
Black,Remote Controlled Signal 12v,"7860-1"
Black,Chomly,"41512-1"
Black,Skeleton Crew,"6232-1"
Black,Orange Creative Box,"10709-1"
Black,Color Light,"4056-1"
Black,Snowman,"1979-1"
Black,"Advent Calendar 2012, City (Day 7) Toy Fire Engine with Remote","4428-8"
Black,Red Cargo Train,"3677-1"
Black,Universal Building Set,"111-1"
Black,Wild Windup,"4093-1"
Black,Motorbike,"8051-1"
Black,Ships - 247 elements and 1 poster,"1049-1"
Black,LEGO® DIMENSIONS™ Jay Fun Pack,"71215-1"
Black,Blue Strata XXL,"4411-1"
Black,Christmas Train,"40034-1"
Black,Samurai VXL,"70625-1"
Black,Front-End Loader,"102A-1"
Black,Spyclops Infiltration,"70166-1"
Black,Nokama (Kabaya Promotional),"1419-1"
Black,Royal Knight's Castle,"6090-1"
Black,Police Headquarters,"585-1"
Black,Vestas Windmill,"4999-1"
Black,Whirlwind Rescue,"8856-1"
Black,Bat Pod,"5004590-1"
Black,Cragger’s Command Ship,"70006-1"
Black,Transport Chopper,"7345-1"
Black,Crane Truck,"6674-1"
Black,Farm,"7637-1"
Black,Push Along Play Train,"170-1"
Black,Jedi Weapon Stand,SW911511-1
Black,Onyx + Power (8512 + 8514),C8512-1
Black,Mobile Police Unit,"60044-1"
Black,Andrea's Mountain Hut,"41031-1"
Black,Police 4x4,"6533-1"
Black,Snow Scooter,"1730-1"
Black,Advent Calendar 2000 (Day  2) Snowman,"2250-3"
Black,Battle on Takodana,"75139-1"
Black,Shell Station,"1470-1"
Black,Tipper Truck,"4434-1"
Black,Red Rover Tires and Hubs (4 tires 4 hubs),"970021-1"
Black,Black Girder Beams & Plates,"1220-1"
Black,Helicopter,"3554-1"
Black,Coruscant Police Gunship,"75046-1"
Black,Umarak the Destroyer,"71316-1"
Black,Majisto's Magical Workshop,"6048-1"
Black,Heavy-Haul Train,"60098-1"
Black,Factory,"1620-2"
Black,Alien Encounter,"1195-1"
Black,Forest: Fishing Trip,"10583-1"
Black,Night Driver,"8132-1"
Black,Red Indians,"215-1"
Black,Torts,"41520-1"
Black,TIE Fighter & Y-wing (re-release of 7150),"7152-1"
Black,Advent Calendar 2002 Creator (Day  1) Squirrel,"4524-2"
Black,Crystal Explorer Sub,"6175-1"
Black,Divers' Accessories,"5389-1"
Black,F1 Race Car,"1990-1"
Black,Bulldozer Chainlinks,"1149-2"
Black,"Scarecrow"" Fearful Face-off","70913-1"
Black,Motorized Universal Building Set,"8064-1"
Black,Rover,"1413-1"
Black,Santa,"30182-1"
Black,Advent Calendar 2010 Kingdoms (Day 13) - Prince with Sword,"7952-14"
Black,World Grand Prix Racing Rivalry,"8423-1"
Black,Motorcycle,"1924-1"
Black,Transformation Kit Dirt Crusher (Blue),"4285969-1"
Black,LEGO® DIMENSIONS™ Doctor Who Level Pack,"71204-1"
Black,Renegade's Raft,"6234-1"
Black,Saucer Scout,"6835-1"
Black,Mission Experience Pack,"8450-1"
Black,Sports Plane,"7688-1"
Black,Knight Bus,"4755-1"
Black,"4 x 4 Crawler","9398-1"
Black,Locomotive Blue Bricks,"3743-1"
Black,Advent Calendar 2010 City (Day 22) Toy Helicopter,"2824-23"
Black,Batcave Adventure,"10545-1"
Black,LEGO Store Employee,"5001622-1"
Black,Nex 2.0,"2068-1"
Black,Norton Motorcycle,"393-1"
Black,Super Basic Set,"599-1"
Black,Microcopter,"5904-1"
Black,Bladvic's Rumble Bear,"70225-1"
Black,Blue Power,"4298-1"
Black,Loader Tractor,"1633-1"
Black,Rahaga Pouks,"4869-1"
Black,Flash Speeder,"7124-1"
Black,Fun with Building Tub,"4496-1"
Black,Creator Set,"4518-1"
Black,Gadunka,"8922-1"
Black,Post Office Van,"6651-1"
Black,Toa Hordika Onewa,"8739-1"
Black,Monthly Mini Model Build December 2012 - Moose,"40041-1"
Black,Cragger's Fire Striker,"70135-1"
Black,Radar Buggy,"3068-1"
Black,Heartlake Dog Show,"3942-1"
Black,Mission 2: Swamp Raid,"8632-1"
Black,Poolside Paradise,"6416-1"
Black,Moulding Machines,"4000001-1"
Black,Terrace House with Car and Garage,"353-1"
Black,Gold Leader's Y-wing Starfighter,"9495-1"
Black,Dune Buggy,"8845-1"
Black,Green Lizard,"7804-1"
Black,Stormer 3.0,"2145-1"
Black,Imperial Troop Transport,"75078-1"
Black,Catwoman Catcycle Chase,"70902-1"
Black,Drag Race Rally,"6568-1"
Black,Open-Top Jeep,"2880-1"
Black,Joachim Löw,"71014-1"
Black,"36 Little People + Accessories","1066-1"
Black,Catapult Crusher,"6032-1"
Black,Assault Tiger,"8113-1"
Black,Jet / Judge Slizer,"8504-1"
Black,Monthly Mini Model Build January 2013 - Igloo,"40061-1"
Black,Pteranodon,"7209-1"
Black,Republic Gunship,"75076-1"
Black,Extreme Cruiser,"8081-1"
Black,Reindeer,"30027-1"
Black,"LEGO Store Grand Opening Exclusive Set, Ala Moana Center, Honolulu, HI",Honolulu-1
Black,Velma Staplebot,"71004-11"
Black,Mine Loader,"42049-1"
Black,Horse Cart,"6022-1"
Black,Fangpyre Truck Ambush,"9445-1"
Black,Antennas and Control Sticks,"5127-1"
Black,"9V Train Track Starter Collection","2159-1"
Black,Street Sprinter vs. Mutant Lizard,"7473-1"
Black,Connectors,"5315-1"
Black,Bricktober Town Hall,"40183-1"
Black,Titanium Zane,NIN891617-1
Black,Town Vehicles,"9371-1"
Black,Walking Astro Grappler,"6882-1"
Black,Racer,"1995-1"
Black,Sunshine Harvest,"41026-1"
Black,"25th Anniversary Silver Tub","3028-1"
Black,Police Trike,"4897-1"
Black,King Kahuka's Throne,"6262-1"
Black,Alpha Team Navigator and ROV,"4792-1"
Black,Scratchy,"71005-14"
Black,The Origins,"4851-1"
Black,Monthly Mini Model Build May 2017 - Racecar,"40243-1"
Black,Frost + Dust (8511 + 8513),C8511-1
Black,Burj Khalifa,"21008-1"
Black,Anakin's Jedi Starfighter Clone Wars White Box,"7669-2"
Black,"LEGO Store Grand Opening Exclusive Set, Westfield Annapolis, Annapolis, MD",Annapolis-1
Black,Santa Claus Ornament,"4169306c-1"
Black,Freeze Ray Frenzy,"5970-1"
Black,UCS TIE Fighter,"75095-1"
Black,Monthly Mini Model Build March 2017 - Platypus,"40241-1"
Black,Drilldozer,"2192-1"
Black,Helicopter,"2849-1"
Black,Jay's Electromech,"70754-1"
Black,Viking Boat against the Wyvern Dragon,"7016-1"
Black,Building Set,"115-1"
Black,LEGO® DIMENSIONS™ Portal® 2 Level Pack,"71203-1"
Black,"Advent Calendar 2014, Friends (Day 11) - Stove","41040-12"
Black,Ferrari F1 Truck 1:55,"8153-1"
Black,Windsurfer,"1958-1"
Black,"Millennium Falcon (Redesign), Blue box","4504-1"
Black,"MBA Level Two - Kit 5, Creature Designer","20204-1"
Black,Basketball,"5013-1"
Black,Sonic Robot,"6750-1"
Black,Build-N-Store Chest,"545-1"
Black,Speed Racer & Snake Oiler,"8158-1"
Black,Discovery Station,"1782-1"
Black,Space Miner,"71007-6"
Black,Universal Building Set,"400-1"
Black,Hau Mask - Green Brick (Legoland California),LLCABR1-1
Black,Mobile crane,"855-1"
Black,King Kahuka,"6236-1"
Black,Race Car,"60053-1"
Black,Scuderia Ferrari SF16-H,"75879-1"
Black,Lavertus’ Outland Base,"70134-1"
Black,Boulder Bowling,"70103-1"
Black,World Team Player,"3305-1"
Black,Wakz' Pack Tracker,"70004-1"
Black,Skateboard Vert Park Challenge,"3537-1"
Black,Micro Electromech Robot,TRUNINJAGO-2
Black,The Crazy Scientist & His Monster,"9466-1"
Black,Kryptonite Interception,"76045-1"
Black,"Advent Calendar 2012, Star Wars (Day 23) - Snowman R2-D2","9509-24"
Black,Blue Creator Bucket,"4810-1"
Black,Small Bucket,"1699-1"
Black,Galactic Titan,"70709-1"
Black,Catman™,"71017-16"
Black,Crane Lorry,"654-1"
Black,Rapid River Village,"6763-1"
Black,Battle on Scarif,"75171-1"
Black,Ice Cream Stand,"30106-1"
Black,Chassis Pack,"5222-1"
Black,Santa with Sleigh and Reindeer,"246-2"
Black,Clone Trooper Lieutenant,"5001709-1"
Black,Train,"323-1"
Black,Destroyer Droid™ / Star Wars Destroyer Droid,"8002-1"
Black,Space Mini-Figures,"0014-1"
Black,The Battle of Naboo,"7929-1"
Black,Minecraft Micro World,"21102-1"
Black,Black Seas Barracuda,"6285-1"
Black,Basic Bricks,"1857-1"
Black,Black Racer Polybag,"7802-1"
Black,Buzz Saw,"8648-1"
Black,Research Glider,"5921-1"
Black,Monster Truck,"60055-1"
Black,Tracks and Sprockets Pack,"991369-1"
Black,Tug Boat,"4005-1"
Black,"Buffers, Magnets & Couplers","5303-1"
Black,Professional Surfer,"71018-1"
Black,Jungle Boat,"30115-1"
Black,T-Rawket Sky Strike,"79120-1"
Black,Buried Treasure,"6235-1"
Black,Town and Space Accessories,"5177-1"
Black,Advent Calendar 2009 City (Day 10) Letter Carrier,"7687-11"
Black,Advent Calendar 2010 Kingdoms (Day 20) - Catapult,"7952-21"
Black,Crawley,"30255-1"
Black,Freestyle Building Set,"4143-1"
Black,Telehandler,"8283-1"
Black,Tractor / Dune Buggy,"8284-2"
Black,Ahkmou,"8610-1"
Black,Adventurers Tomb,"2996-1"
Black,Borkum Riffgrund 1,"4002015-1"
Black,Garan,"8724-1"
Black,Battery Box,"703-3"
Black,The Wasp,"8217-1"
Black,Skeleton Ship Attack,"7029-1"
Black,"LEGO Store Grand Opening Exclusive Set, Oak Park Mall, Overland Park, KS",OverlandPark-1
Black,Lighthouse,"30023-1"
Black,Unicorn Girl,"71008-3"
Black,Ogel Mutant Squid,"4796-1"
Black,Magikus,"3836-1"
Black,Hot Dog Man,"71018-6"
Black,Advent Calendar 2006 City (Day  8) Hospital Bed with IV Stand,"7904-9"
Black,Glove World,"3816-1"
Black,Car and Caravan,"4435-1"
Black,Master Wu Dragon,"70734-1"
Black,Rocket Raccoon’s Warbird,comcon034-1
Black,Rey's Speeder™,"75099-1"
Black,Knight Racer,NEX271606-1
Black,Grandma - Complete Set,"71002-14"
Black,Rescue Rig,"6670-1"
Black,Gorilla Grodd Goes Bananas,"76026-1"
Black,Fire Station,"10593-1"
Black,U-wing,"75160-1"
Black,Advent Calendar 2005 City (Day 10) Wheelbarrow,"7324-11"
Black,Jungle River,"7410-1"
Black,Car,"1260-1"
Black,Helicopter,"30181-1"
Black,Sabah Promotional Set: Aircraft,"2135-1"
Black,Airshow Aces,"31060-1"
Black,Passenger Plane - Malaysian Air Version,"4032-12"
Black,"Vladek (USA version with 6 Cards, Target Promo)","8786-2"
Black,Catapult,"6030-1"
Black,Tunnel Transport,"4980-1"
Black,City House,"8403-1"
Black,Spider-Man's First Chase,"4850-1"
Black,Advent Calendar 2008 Castle (Day 23) - Treasure Chest with Spider,"7979-24"
Black,CyberMaster,"8483-1"
Black,Tower Target,"70110-1"
Black,"Advent Calendar 2001, Creator (Day  5) Ambulance","4124-6"
Black,Traitor Transport,"6047-1"
Black,Basic Bulk Tub (American Version),"3033-1"
Black,Mickey's Fishing Adventure,"4178-1"
Black,Custom Cruiser,"8208-1"
Black,Rebel A-wing Pilot,"5004408-1"
Black,Crystal King,"8962-1"
Black,Windup Motor,"890-1"
Black,"Treasure Tomb, TRU exclusive","3722-1"
Black,Vulture Droid,"75073-1"
Black,QUICK Bad Guy Green,"7717-1"
Black,Crawler Tracks,"1105-1"
Black,Axle Assortment,"1233-1"
Black,Plates & Gear Racks,"5290-1"
Black,Gold City Junction,"6765-1"
Black,Off-Roader,"8297-1"
Black,Blue Racer,"4301-1"
Black,Basic Building Set,"335-1"
Black,Toa Mahri Hahli,"8914-1"
Black,Buckingham Palace,"21029-1"
Black,Fransesco Bernoulli,"9478-1"
Black,Spy-Trak 1,"6895-1"
Black,Butterfly,"7607-1"
Black,Universal Building Set,"110-1"
Black,Ice Ramp Racers,"4579-1"
Black,Lighting Set Electric 12v,"7861-1"
Black,AT-AP Walker,"7671-1"
Black,Fast Car,"30187-1"
Black,Star Striker,"9094-1"
Black,Fire Truck,"8289-1"
Black,"LEGO Store Grand Re-opening Exclusive Set, Mall of America, Bloomington, MN",Minneapolis-2
Black,Crane and Digger Accessories,"5390-1"
Black,ROCKA Crawler,"44023-1"
Black,Changing Seasons,"31038-1"
Black,Escape Glider,"70800-1"
Black,The Wicked Madam Frost,"5838-1"
Black,Monster Crushers,"8182-1"
Black,Advent Calendar 2010 Kingdoms (Day  7) - Queen with Frog,"7952-8"
Black,"Large Train Engine with Tender Black (Motorizable, sets 4534, 4535)","4186868-1"
Black,eLAB Renewable Energy Set,"9681-1"
Black,Finn (FN-2187),"30605-1"
Black,Sentai Fortress,"7709-1"
Black,Bus Stop,"696-1"
Black,Monthly Mini Model Build May 2014 - Dragon,"40098-1"
Black,Zombie - Complete Set,"8683-5"
Black,Kanoka Launcher And Disc,"3259-1"
Black,Black Champion Racer,"42026-2"
Black,Dust,"8513-1"
Black,Bionicle Villain Pack,"5002942-1"
Black,"1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates (System)","470-1"
Black,Wave Cops,"4012-1"
Black,Mermaid - Complete Set,"71000-12"
Black,Dark Fortress Landing,"8802-1"
Black,Lion,"1604-1"
Black,LEGO® Star Wars™ Stormtrooper™ Magnet,"850642-1"
Black,The Hulk,"4530-1"
Black,Arctic Ice Crawler,"60033-1"
Black,Test Car,"8865-1"
Black,Melting Room,"70801-1"
Black,Basic Set,"6-3"
Black,Fast Track Finish,"6337-1"
Black,Bonezai,"2115-1"
Black,Cargo Station,"165-1"
Black,Kingdoms Joust,"10223-1"
Black,Prisoner Transporter,"60043-1"
Black,Advent Calendar 2011 City (Day 14) Forensic Lab,"7553-15"
Black,Evo,"44012-1"
Black,Black Ridge Roof Tiles,"10160-1"
Black,Shell Tanker,"1468-1"
Black,Shadow Crawler,"8104-1"
Black,Piggy Car Escape,"75821-1"
Black,"LEGO Store Grand Opening Exclusive Set, Christiana Mall, Newark, DE",Newark-1
Black,AT-TE Walker,"7675-1"
Black,Women's Team,"3416-1"
Black,Weightlifter - Complete Set,"8684-10"
Black,Factory With Conveyor Belt,"248-2"
Black,Blast Off Chopper with Bungee Cord Power!,"8202-1"
Black,Frozen Spikes,"70151-1"
Black,Viking Woman - Complete Set,"8831-13"
Black,Sharx,"41566-1"
Black,The Lion CHI Temple,"70010-1"
Black,Res-Q Runner,"1097-1"
Black,Sir Fangar's Sabre-Tooth Walker,"70143-1"
Black,Space Lock-Up Isolation Base,"6955-1"
Black,R2-D2,"30611-1"
Black,Star Wars 10th Anniversary Stormtrooper Magnet,"852737-1"
Black,Pirate Lookout,"1696-1"
Black,Batman Classic TV Series - Batcave,"76052-1"
Black,Touch Sensor,"9867-1"
Black,Mini Basic Set,"1905-1"
Black,Broadside's Brig,"6259-1"
Black,Fire Emergency Van,"556-1"
Black,Battle at the Black Gate,"79007-1"
Black,Marsha Queen of the Mermaids,"71004-16"
Black,Police Car,"30352-1"
Black,"LEGO Store Grand Opening Exclusive Set, West County Center, Des Peres, MO",DesPeres-1
Black,Stock Car,"6634-1"
Black,Wright Flyer,"10124-1"
Black,LEGO Truck,"10156-1"
Black,Gyro Copter,"8215-1"
Black,Syndrome,"71012-14"
Black,Thanksgiving Feast,"40123-1"
Black,Desert Viper,"8122-1"
Black,Race Day,"6133-1"
Black,Blue Creative Box,"10706-1"
Black,Harry and the Hungarian Horntail,"4767-1"
Black,Plo Koon’s Jedi Starfighter,"8093-1"
Black,Tipper Truck,"435-1"
Black,The Three Brothers,"70350-1"
Black,Lisa,"71009-3"
Black,Transport Truck,"335-2"
Black,Jakku Quadjumper,"75178-1"
Black,QUICK Bad Guy Yellow,"7718-1"
Black,Librarian - Complete Set,"71001-1"
Black,Barcode Multi-Set,"8479-1"
Black,Bricktober Pizza Place,"40181-1"
Black,Flower Cart,"40140-1"
Black,Rocket Raccoon,"5002145-1"
Black,Power Puller,"8457-1"
Black,Mini Vehicles,"4838-1"
Black,Crab Crusher,"7774-1"
Black,LEGO Friends Buildable Jewelry Box,"40114-1"
Black,Hinges and Couplings,"5182-1"
Black,ARC-170 Starfighter,"75072-1"
Black,Ultimate Creatures Accessory Set (Special Edition) 300+ Pieces,"6638-1"
Black,Roadwork Crew,"42060-1"
Black,Motorized Bulldozer,"8275-1"
Black,Weekend Home,"6370-1"
Black,Shave a Sheep,"3845-1"
Black,Tiger Shark Attack,"7773-1"
Black,Big Royal Castle,"10577-1"
Black,Repair Lift,"30229-1"
Black,Basic Bricks - Deluxe,"6176-1"
Black,Scurvy Dog and Crocodile,"7080-1"
Black,Knights' Castle Wall,"8799-1"
Black,Monthly Mini Model Build February 2015 - Space Shuttle,"40127-1"
Black,Zorch,"41502-1"
Black,Iconic Chess Set,"40174-1"
Black,Radiak,"8947-1"
Black,Turbo Racer,"6502-1"
Black,Cloud Cuckoo Palace,"70803-1"
Black,Kayak,TRUKAYAK-1
Black,Front End Loader,"8828-1"
Black,Ultimate Defense,"3429-1"
Black,Command Centre (Center),"926-1"
Black,Convertables,"8244-1"
Black,Farming Scene,"255-2"
Black,Fire Plane,"42040-1"
Black,Selma,"71009-11"
Black,Tires (42 mm),"1120-1"
Black,Diesel Shunter Locomotive,"7760-1"
Black,Darth Maul's Sith Infiltrator,"7961-1"
Black,Life on Mars Accessories,"3750-1"
Black,Classic Trial Size,"4284-1"
Black,Mighty Micros: Captain America vs. Red Skull,"76065-1"
Black,Williams F1 Racer,"8461-1"
Black,Advent Calendar 2007 City (Day 23) Computer Desk and Chair,"7907-24"
Black,Racing Car,"1825-1"
Black,The Battle of Endor,"8038-1"
Black,Space Mini-Figs,"6711-1"
Black,Jeep CJ-5,"711-1"
Black,Azari and the Magical Bakery,"41074-1"
Black,Forklift,"8248-1"
Black,Weekend Cottage,"6360-1"
Black,Doors and Windows,"6117-1"
Black,Mini VW T1 Camper Van,"40079-1"
Black,Advent Calendar 1999 (Day 17) Gentleman,"1076-18"
Black,Mini Rocket Launcher,"6452-1"
Black,"Town Siren, 2 x 2","5035-1"
Black,Treasure Cart,"1463-1"
